"0xC0,0x2C",ECDHE-ECDSA-AES256-GCM-SHA384
"0xC0,0x30",ECDHE-RSA-AES256-GCM-SHA384
"0x00,0xA3",DHE-DSS-AES256-GCM-SHA384
"0x00,0x9F",DHE-RSA-AES256-GCM-SHA384
"0xCC,0xA9",ECDHE-ECDSA-CHACHA20-POLY1305
"0xCC,0xA8",ECDHE-RSA-CHACHA20-POLY1305
"0xCC,0xAA",DHE-RSA-CHACHA20-POLY1305
"0xC0,0xAF",ECDHE-ECDSA-AES256-CCM8
"0xC0,0xAD",ECDHE-ECDSA-AES256-CCM
"0xC0,0xA3",DHE-RSA-AES256-CCM8
"0xC0,0x9F",DHE-RSA-AES256-CCM
"0x00,0xA7",ADH-AES256-GCM-SHA384
"0xC0,0x2B",ECDHE-ECDSA-AES128-GCM-SHA256
"0xC0,0x2F",ECDHE-RSA-AES128-GCM-SHA256
"0x00,0xA2",DHE-DSS-AES128-GCM-SHA256
"0x00,0x9E",DHE-RSA-AES128-GCM-SHA256
"0xC0,0xAE",ECDHE-ECDSA-AES128-CCM8
"0xC0,0xAC",ECDHE-ECDSA-AES128-CCM
"0xC0,0xA2",DHE-RSA-AES128-CCM8
"0xC0,0x9E",DHE-RSA-AES128-CCM
"0x00,0xA6",ADH-AES128-GCM-SHA256
"0xC0,0x24",ECDHE-ECDSA-AES256-SHA384
"0xC0,0x28",ECDHE-RSA-AES256-SHA384
"0x00,0x6B",DHE-RSA-AES256-SHA256
"0x00,0x6A",DHE-DSS-AES256-SHA256
"0xC0,0x73",ECDHE-ECDSA-CAMELLIA256-SHA384
"0xC0,0x77",ECDHE-RSA-CAMELLIA256-SHA384
"0x00,0xC4",DHE-RSA-CAMELLIA256-SHA256
"0x00,0xC3",DHE-DSS-CAMELLIA256-SHA256
"0x00,0x6D",ADH-AES256-SHA256
"0x00,0xC5",ADH-CAMELLIA256-SHA256
"0xC0,0x23",ECDHE-ECDSA-AES128-SHA256
"0xC0,0x27",ECDHE-RSA-AES128-SHA256
"0x00,0x67",DHE-RSA-AES128-SHA256
"0x00,0x40",DHE-DSS-AES128-SHA256
"0xC0,0x72",ECDHE-ECDSA-CAMELLIA128-SHA256
"0xC0,0x76",ECDHE-RSA-CAMELLIA128-SHA256
"0x00,0xBE",DHE-RSA-CAMELLIA128-SHA256
"0x00,0xBD",DHE-DSS-CAMELLIA128-SHA256
"0x00,0x6C",ADH-AES128-SHA256
"0x00,0xBF",ADH-CAMELLIA128-SHA256
"0xC0,0x0A",ECDHE-ECDSA-AES256-SHA
"0xC0,0x14",ECDHE-RSA-AES256-SHA
"0x00,0x39",DHE-RSA-AES256-SHA
"0x00,0x38",DHE-DSS-AES256-SHA
"0x00,0x88",DHE-RSA-CAMELLIA256-SHA
"0x00,0x87",DHE-DSS-CAMELLIA256-SHA
"0xC0,0x19",AECDH-AES256-SHA
"0x00,0x3A",ADH-AES256-SHA
"0x00,0x89",ADH-CAMELLIA256-SHA
"0xC0,0x09",ECDHE-ECDSA-AES128-SHA
"0xC0,0x13",ECDHE-RSA-AES128-SHA
"0x00,0x33",DHE-RSA-AES128-SHA
"0x00,0x32",DHE-DSS-AES128-SHA
"0x00,0x9A",DHE-RSA-SEED-SHA
"0x00,0x99",DHE-DSS-SEED-SHA
"0x00,0x45",DHE-RSA-CAMELLIA128-SHA
"0x00,0x44",DHE-DSS-CAMELLIA128-SHA
"0xC0,0x18",AECDH-AES128-SHA
"0x00,0x34",ADH-AES128-SHA
"0x00,0x9B",ADH-SEED-SHA
"0x00,0x46",ADH-CAMELLIA128-SHA
"0xC0,0x07",ECDHE-ECDSA-RC4-SHA
"0xC0,0x11",ECDHE-RSA-RC4-SHA
"0xC0,0x16",AECDH-RC4-SHA
"0x00,0x18",ADH-RC4-MD5
"0xC0,0x08",ECDHE-ECDSA-DES-CBC3-SHA
"0xC0,0x12",ECDHE-RSA-DES-CBC3-SHA
"0x00,0x16",DHE-RSA-DES-CBC3-SHA
"0x00,0x13",DHE-DSS-DES-CBC3-SHA
"0xC0,0x17",AECDH-DES-CBC3-SHA
"0x00,0x1B",ADH-DES-CBC3-SHA
"0x00,0xAD",RSA-PSK-AES256-GCM-SHA384
"0x00,0xAB",DHE-PSK-AES256-GCM-SHA384
"0xCC,0xAE",RSA-PSK-CHACHA20-POLY1305
"0xCC,0xAD",DHE-PSK-CHACHA20-POLY1305
"0xCC,0xAC",ECDHE-PSK-CHACHA20-POLY1305
"0xC0,0xAB",DHE-PSK-AES256-CCM8
"0xC0,0xA7",DHE-PSK-AES256-CCM
"0x00,0x9D",AES256-GCM-SHA384
"0xC0,0xA1",AES256-CCM8
"0xC0,0x9D",AES256-CCM
"0x00,0xA9",PSK-AES256-GCM-SHA384
"0xCC,0xAB",PSK-CHACHA20-POLY1305
"0xC0,0xA9",PSK-AES256-CCM8
"0xC0,0xA5",PSK-AES256-CCM
"0x00,0xAC",RSA-PSK-AES128-GCM-SHA256
"0x00,0xAA",DHE-PSK-AES128-GCM-SHA256
"0xC0,0xAA",DHE-PSK-AES128-CCM8
"0xC0,0xA6",DHE-PSK-AES128-CCM
"0x00,0x9C",AES128-GCM-SHA256
"0xC0,0xA0",AES128-CCM8
"0xC0,0x9C",AES128-CCM
"0x00,0xA8",PSK-AES128-GCM-SHA256
"0xC0,0xA8",PSK-AES128-CCM8
"0xC0,0xA4",PSK-AES128-CCM
"0x00,0x3D",AES256-SHA256
"0x00,0xC0",CAMELLIA256-SHA256
"0x00,0x3C",AES128-SHA256
"0x00,0xBA",CAMELLIA128-SHA256
"0xC0,0x38",ECDHE-PSK-AES256-CBC-SHA384
"0xC0,0x36",ECDHE-PSK-AES256-CBC-SHA
"0xC0,0x22",SRP-DSS-AES-256-CBC-SHA
"0xC0,0x21",SRP-RSA-AES-256-CBC-SHA
"0xC0,0x20",SRP-AES-256-CBC-SHA
"0x00,0xB7",RSA-PSK-AES256-CBC-SHA384
"0x00,0xB3",DHE-PSK-AES256-CBC-SHA384
"0x00,0x95",RSA-PSK-AES256-CBC-SHA
"0x00,0x91",DHE-PSK-AES256-CBC-SHA
"0xC0,0x9B",ECDHE-PSK-CAMELLIA256-SHA384
"0xC0,0x99",RSA-PSK-CAMELLIA256-SHA384
"0xC0,0x97",DHE-PSK-CAMELLIA256-SHA384
"0x00,0x35",AES256-SHA
"0x00,0x84",CAMELLIA256-SHA
"0x00,0xAF",PSK-AES256-CBC-SHA384
"0x00,0x8D",PSK-AES256-CBC-SHA
"0xC0,0x95",PSK-CAMELLIA256-SHA384
"0xC0,0x37",ECDHE-PSK-AES128-CBC-SHA256
"0xC0,0x35",ECDHE-PSK-AES128-CBC-SHA
"0xC0,0x1F",SRP-DSS-AES-128-CBC-SHA
"0xC0,0x1E",SRP-RSA-AES-128-CBC-SHA
"0xC0,0x1D",SRP-AES-128-CBC-SHA
"0x00,0xB6",RSA-PSK-AES128-CBC-SHA256
"0x00,0xB2",DHE-PSK-AES128-CBC-SHA256
"0x00,0x94",RSA-PSK-AES128-CBC-SHA
"0x00,0x90",DHE-PSK-AES128-CBC-SHA
"0xC0,0x9A",ECDHE-PSK-CAMELLIA128-SHA256
"0xC0,0x98",RSA-PSK-CAMELLIA128-SHA256
"0xC0,0x96",DHE-PSK-CAMELLIA128-SHA256
"0x00,0x2F",AES128-SHA
"0x00,0x96",SEED-SHA
"0x00,0x41",CAMELLIA128-SHA
"0x00,0x07",IDEA-CBC-SHA
"0x00,0xAE",PSK-AES128-CBC-SHA256
"0x00,0x8C",PSK-AES128-CBC-SHA
"0xC0,0x94",PSK-CAMELLIA128-SHA256
"0xC0,0x33",ECDHE-PSK-RC4-SHA
"0x00,0x92",RSA-PSK-RC4-SHA
"0x00,0x8E",DHE-PSK-RC4-SHA
"0x00,0x05",RC4-SHA
"0x00,0x04",RC4-MD5
"0x00,0x8A",PSK-RC4-SHA
"0xC0,0x34",ECDHE-PSK-3DES-EDE-CBC-SHA
"0xC0,0x1C",SRP-DSS-3DES-EDE-CBC-SHA
"0xC0,0x1B",SRP-RSA-3DES-EDE-CBC-SHA
"0xC0,0x1A",SRP-3DES-EDE-CBC-SHA
"0x00,0x93",RSA-PSK-3DES-EDE-CBC-SHA
"0x00,0x8F",DHE-PSK-3DES-EDE-CBC-SHA
"0x00,0x0A",DES-CBC3-SHA
"0x00,0x8B",PSK-3DES-EDE-CBC-SHA
"0xC0,0x06",ECDHE-ECDSA-NULL-SHA
"0xC0,0x10",ECDHE-RSA-NULL-SHA
"0xC0,0x15",AECDH-NULL-SHA
"0x00,0x3B",NULL-SHA256
"0xC0,0x3B",ECDHE-PSK-NULL-SHA384
"0xC0,0x3A",ECDHE-PSK-NULL-SHA256
"0xC0,0x39",ECDHE-PSK-NULL-SHA
"0x00,0xB9",RSA-PSK-NULL-SHA384
"0x00,0xB8",RSA-PSK-NULL-SHA256
"0x00,0xB5",DHE-PSK-NULL-SHA384
"0x00,0xB4",DHE-PSK-NULL-SHA256
"0x00,0x2E",RSA-PSK-NULL-SHA
"0x00,0x2D",DHE-PSK-NULL-SHA
"0x00,0x02",NULL-SHA
"0x00,0x01",NULL-MD5
"0x00,0xB1",PSK-NULL-SHA384
"0x00,0xB0",PSK-NULL-SHA256
"0x00,0x2C",PSK-NULL-SHA
"0x00,0x16",EDH-RSA-DES-CBC3-SHA
"0x00,0x13",EDH-DSS-DES-CBC3-SHA
